date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:14	327/327	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Aug%202016%2004:47:20%20GMT	http://www.anjstech.com/robots.txt		(from )
10:17:14	26577/26577	---M-Z	200	added ('OK')	text/html	etag:%22cc20167-67d1-52ea056b26b3b-gzip%22	http://www.anjstech.com/	D:/anjs/www.anjstech.com/index.html	(from )
10:17:15	3262/3262	---M--	200	added ('OK')	image/x-icon	etag:%22cc200ad-cbe-52e9e8a1d4c7e%22	http://www.anjstech.com/images/favicon.ico	D:/anjs/www.anjstech.com/images/favicon.ico	(from http://www.anjstech.com/)
10:17:15	5471/5471	---M--	200	added ('OK')	text/css	etag:%22cc20076-155f-52e9e78457c2d%22	http://www.anjstech.com/css/tab_styleH.css	D:/anjs/www.anjstech.com/css/tab_styleH.css	(from http://www.anjstech.com/)
10:17:15	5477/5477	---M--	200	added ('OK')	text/css	etag:%22cc20075-1565-52e9e77cd235a%22	http://www.anjstech.com/css/tab_style.css	D:/anjs/www.anjstech.com/css/tab_style.css	(from http://www.anjstech.com/)
10:17:17	373/373	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Aug%202016%2004:47:23%20GMT	http://www.anjstech.com/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	D:/anjs/www.anjstech.com/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.5.delayed	(from http://www.anjstech.com/)
10:17:18	3835/3835	---M--	200	added ('OK')	text/css	etag:%22cc2007c-efb-52e9e79b210e9%22	http://www.anjstech.com/js/jquery.bxslider.css	D:/anjs/www.anjstech.com/js/jquery.bxslider.css	(from http://www.anjstech.com/)
10:17:19	32843/32843	---M--	200	added ('OK')	text/css	etag:%22cc20074-804b-52ea1f52a1b75%22	http://www.anjstech.com/css/style.css	D:/anjs/www.anjstech.com/css/style.css	(from http://www.anjstech.com/)
10:17:21	10448/10448	---M--	200	added ('OK')	application/javascript	etag:%22cc2008f-28d0-52e9e7de72d43%22	http://www.anjstech.com/scripts/ticker.js	D:/anjs/www.anjstech.com/scripts/ticker.js	(from http://www.anjstech.com/)
10:17:21	19359/19359	---M--	200	added ('OK')	application/javascript	etag:%22cc2007d-4b9f-52e9e7a04634a%22	http://www.anjstech.com/js/jquery.bxslider.min.js	D:/anjs/www.anjstech.com/js/jquery.bxslider.min.js	(from http://www.anjstech.com/)
